id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
246,<span class='from'>be</span><span class='from'>as</span>t,<span class='from'>wa</span><span class='from'>te</span><span class='from'>rc</span><span class='from'>ou</span><span class='from'>rs</span>e,<span class='from'>ov</span><span class='from'>er</span><span class='from'>ex</span><span class='from'>te</span><span class='from'>nd</span><span class='from'>in</span>g,<span class='from'>un</span><span class='from'>me</span><span class='from'>nt</span><span class='from'>io</span><span class='from'>na</span><span class='from'>bl</span>e,<span class='from'>sh</span><span class='from'>re</span>d,<span class='from'>nu</span><span class='from'>dg</span><span class='from'>es</span>,<span class='from'>pr</span><span class='from'>ot</span><span class='from'>ru</span><span class='from'>si</span><span class='from'>on</span>s,<span class='from'>fu</span><span class='from'>lc</span><span class='from'>ra</span>,<span class='to'>j</span><span class='to'>j</span>t,<span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span>e,<span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span>g,<span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span>e,<span class='to'>j</span><span class='to'>j</span>d,<span class='to'>j</span><span class='to'>j</span><span class='to'>j</span>,<span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span>s,<span class='to'>j</span><span class='to'>j</span><span class='to'>j</span>,falsely,jjjy,(no hint for this problem)
247,alfresco,elec<span class='from'>t</span>rolysis,s<span class='from'>t</span>ru<span class='from'>t</span><span class='from'>t</span>ing,fray,downpours,assevera<span class='from'>t</span>es,ca<span class='from'>t</span>boa<span class='from'>t</span>,ac<span class='from'>t</span>ion,alfresco,elec<span class='to'>n</span>rolysis,s<span class='to'>n</span>ru<span class='to'>n</span><span class='to'>n</span>ing,fray,downpours,assevera<span class='to'>n</span>es,ca<span class='to'>n</span>boa<span class='to'>n</span>,ac<span class='to'>n</span>ion,weeper,weeper,(no hint for this problem)
248,diaper,bouffan<span class='from'>ts</span>,varnishi<span class='from'>ng</span>,torus,sebaceous,sli<span class='from'>ng</span>,explo<span class='from'>re</span>,i<span class='from'>vy</span>,diaper,bouffan<span class='to'>lg</span>,varnishi<span class='to'>lg</span>,torus,sebaceous,sli<span class='to'>lg</span>,explo<span class='to'>lg</span>,i<span class='to'>lg</span>,sprung,sprulg,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
249,tromped,<span class='from'>mi</span>croscope,<span class='from'>de</span>scending,<span class='from'>fo</span>replay,<span class='from'>ki</span>t,<span class='from'>be</span>aming,<span class='from'>ha</span>ckney,<span class='from'>to</span>gs,tromped,<span class='to'>xg</span>croscope,<span class='to'>xg</span>scending,<span class='to'>xg</span>replay,<span class='to'>xg</span>t,<span class='to'>xg</span>aming,<span class='to'>xg</span>ckney,<span class='to'>xg</span>gs,kamikaze,xgmikaze,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
250,to<span class='from'>as</span>ting,colleg<span class='from'>es</span>,outnumbered,bl<span class='from'>us</span>hing,aphrod<span class='from'>is</span>iac,delug<span class='from'>es</span>,c<span class='from'>as</span>eworkers,bolt,to<span class='to'>asm</span>ting,colleg<span class='to'>esm</span>,outnumbered,bl<span class='to'>usm</span>hing,aphrod<span class='to'>ism</span>iac,delug<span class='to'>esm</span>,c<span class='to'>asm</span>eworkers,bolt,tattletales,tattletalesm,look at <b>vowels</b>
251,violoncello<span class='from'>s</span>,lantern<span class='from'>s</span>,remainder<span class='from'>s</span>,forger<span class='from'>s</span>,marqui<span class='from'>s</span>e,gutter<span class='from'>s</span>,mi<span class='from'>s</span>conduct<span class='from'>s</span>,<span class='from'>s</span>lapda<span class='from'>s</span>h,violoncello<span class='to'>sx</span>,lantern<span class='to'>sx</span>,remainder<span class='to'>sx</span>,forger<span class='to'>sx</span>,marqui<span class='to'>sx</span>e,gutter<span class='to'>sx</span>,mi<span class='to'>sx</span>conduct<span class='to'>sx</span>,<span class='to'>sx</span>lapda<span class='to'>sx</span>h,bettered,bettered,(no hint for this problem)
252,<span class='from'>h</span>a<span class='from'>r</span><span class='from'>d</span>,<span class='from'>s</span><span class='from'>h</span>a<span class='from'>d</span>e,<span class='from'>w</span>a<span class='from'>s</span><span class='from'>s</span>ai<span class='from'>l</span>e<span class='from'>d</span>,<span class='from'>s</span><span class='from'>t</span><span class='from'>r</span>a<span class='from'>p</span><span class='from'>p</span>e<span class='from'>d</span>,<span class='from'>w</span>e<span class='from'>t</span><span class='from'>s</span>,<span class='from'>b</span>oi<span class='from'>l</span>i<span class='from'>n</span><span class='from'>g</span><span class='from'>s</span>,<span class='from'>t</span>au<span class='from'>t</span>o<span class='from'>l</span>o<span class='from'>g</span><span class='from'>y</span>,<span class='from'>r</span>a<span class='from'>v</span>i<span class='from'>s</span><span class='from'>h</span><span class='from'>m</span>e<span class='from'>n</span><span class='from'>t</span>,<span class='to'>hm</span>a<span class='to'>rm</span><span class='to'>dm</span>,<span class='to'>sm</span><span class='to'>hm</span>a<span class='to'>dm</span>e,<span class='to'>wm</span>a<span class='to'>sm</span><span class='to'>sm</span>ai<span class='to'>lm</span>e<span class='to'>dm</span>,<span class='to'>sm</span><span class='to'>tm</span><span class='to'>rm</span>a<span class='to'>pm</span><span class='to'>pm</span>e<span class='to'>dm</span>,<span class='to'>wm</span>e<span class='to'>tm</span><span class='to'>sm</span>,<span class='to'>bm</span>oi<span class='to'>lm</span>i<span class='to'>nm</span><span class='to'>gm</span><span class='to'>sm</span>,<span class='to'>tm</span>au<span class='to'>tm</span>o<span class='to'>lm</span>o<span class='to'>gm</span><span class='to'>ym</span>,<span class='to'>rm</span>a<span class='to'>vm</span>i<span class='to'>sm</span><span class='to'>hm</span><span class='to'>mm</span>e<span class='to'>nm</span><span class='to'>tm</span>,brooders,bmrmoodmermsm,look at <b>consonants</b>
253,colloqui<span class='from'>e</span>s,squalls,unm<span class='from'>e</span>rciful,bl<span class='from'>e</span>nch<span class='from'>e</span>s,broadcast<span class='from'>e</span>rs,cosmos,vid<span class='from'>e</span>o,guid<span class='from'>e</span>lin<span class='from'>e</span>s,colloqui<span class='to'>im</span>s,squalls,unm<span class='to'>im</span>rciful,bl<span class='to'>im</span>nch<span class='to'>im</span>s,broadcast<span class='to'>im</span>rs,cosmos,vid<span class='to'>im</span>o,guid<span class='to'>im</span>lin<span class='to'>im</span>s,frenzies,frimnziims,(no hint for this problem)
254,c<span class='from'>ol</span>lapsible,st<span class='from'>or</span>yb<span class='from'>oo</span>k,snafus,p<span class='from'>ol</span>icing,fl<span class='from'>ou</span>nces,teasp<span class='from'>oo</span>ns,t<span class='from'>ow</span>nh<span class='from'>ou</span>ses,alternat<span class='from'>or</span>,c<span class='to'>fq</span>lapsible,st<span class='to'>fq</span>yb<span class='to'>fq</span>k,snafus,p<span class='to'>fq</span>icing,fl<span class='to'>fq</span>nces,teasp<span class='to'>fq</span>ns,t<span class='to'>fq</span>nh<span class='to'>fq</span>ses,alternat<span class='to'>fq</span>,willowy,willfqy,(no hint for this problem)
255,<span class='from'>ha</span>ndiwork,<span class='from'>su</span>bsides,<span class='from'>va</span>ccinations,<span class='from'>ta</span>nkers,<span class='from'>de</span>eply,<span class='from'>su</span>rfboarded,<span class='from'>su</span>llener,spangling,<span class='to'>md</span>ndiwork,<span class='to'>md</span>bsides,<span class='to'>md</span>ccinations,<span class='to'>md</span>nkers,<span class='to'>md</span>eply,<span class='to'>md</span>rfboarded,<span class='to'>md</span>llener,spangling,conjugate,mdnjugate,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
256,rowdyism,clamber<span class='from'>ed</span>,presuppos<span class='from'>ed</span>,gaz<span class='from'>er</span>,hull<span class='from'>ed</span>,clamp<span class='from'>ed</span>,abutment,peck,rowdyism,clamber<span class='to'>t</span>,presuppos<span class='to'>t</span>,gaz<span class='to'>t</span>,hull<span class='to'>t</span>,clamp<span class='to'>t</span>,abutment,peck,complexities,complexitit,look at the <b>end</b> of the word
257,primogeniture,concisenes<span class='from'>s</span>,tatter<span class='from'>s</span>,finde<span class='from'>r</span>,deitie<span class='from'>s</span>,racoo<span class='from'>n</span>,besieger<span class='from'>s</span>,coolan<span class='from'>t</span>,primogeniture,concisenes<span class='to'>wi</span>,tatter<span class='to'>wi</span>,finde<span class='to'>wi</span>,deitie<span class='to'>wi</span>,racoo<span class='to'>wi</span>,besieger<span class='to'>wi</span>,coolan<span class='to'>wi</span>,laudable,laudable,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
258,<span class='from'>u</span>b<span class='from'>i</span>q<span class='from'>u</span><span class='from'>i</span>t<span class='from'>o</span><span class='from'>u</span>sly,f<span class='from'>i</span>n<span class='from'>i</span>ck<span class='from'>i</span><span class='from'>e</span>r,<span class='from'>a</span>l<span class='from'>o</span><span class='from'>u</span>d,c<span class='from'>a</span>rp<span class='from'>e</span>t<span class='from'>e</span>d,<span class='from'>e</span><span class='from'>a</span>rm<span class='from'>a</span>rk<span class='from'>i</span>ng,c<span class='from'>o</span>nt<span class='from'>e</span>mp<span class='from'>o</span>r<span class='from'>a</span>n<span class='from'>e</span><span class='from'>o</span><span class='from'>u</span>s,s<span class='from'>a</span><span class='from'>u</span>s<span class='from'>a</span>g<span class='from'>e</span>,w<span class='from'>i</span>tl<span class='from'>e</span>ss,<span class='to'>by</span>b<span class='to'>by</span>q<span class='to'>by</span><span class='to'>by</span>t<span class='to'>by</span><span class='to'>by</span>sly,f<span class='to'>by</span>n<span class='to'>by</span>ck<span class='to'>by</span><span class='to'>by</span>r,<span class='to'>by</span>l<span class='to'>by</span><span class='to'>by</span>d,c<span class='to'>by</span>rp<span class='to'>by</span>t<span class='to'>by</span>d,<span class='to'>by</span><span class='to'>by</span>rm<span class='to'>by</span>rk<span class='to'>by</span>ng,c<span class='to'>by</span>nt<span class='to'>by</span>mp<span class='to'>by</span>r<span class='to'>by</span>n<span class='to'>by</span><span class='to'>by</span><span class='to'>by</span>s,s<span class='to'>by</span><span class='to'>by</span>s<span class='to'>by</span>g<span class='to'>by</span>,w<span class='to'>by</span>tl<span class='to'>by</span>ss,disgust,dbysgbyst,look at <b>vowels</b>
259,<span class='from'>h</span>u<span class='from'>r</span><span class='from'>t</span><span class='from'>f</span>u<span class='from'>l</span>,<span class='from'>c</span>ou<span class='from'>r</span><span class='from'>t</span><span class='from'>r</span>oo<span class='from'>m</span>,i<span class='from'>s</span><span class='from'>s</span>ua<span class='from'>n</span><span class='from'>c</span>e,<span class='from'>c</span><span class='from'>h</span>a<span class='from'>r</span><span class='from'>w</span>o<span class='from'>m</span>e<span class='from'>n</span>,<span class='from'>f</span><span class='from'>l</span>a<span class='from'>t</span>u<span class='from'>l</span>e<span class='from'>n</span><span class='from'>c</span>e,<span class='from'>b</span>e<span class='from'>d</span>e<span class='from'>v</span>i<span class='from'>l</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='from'>f</span>e<span class='from'>m</span>o<span class='from'>r</span>a,<span class='from'>f</span>e<span class='from'>d</span>,<span class='to'>hs</span>u<span class='to'>rs</span><span class='to'>ts</span><span class='to'>fs</span>u<span class='to'>ls</span>,<span class='to'>cs</span>ou<span class='to'>rs</span><span class='to'>ts</span><span class='to'>rs</span>oo<span class='to'>ms</span>,i<span class='to'>ss</span><span class='to'>ss</span>ua<span class='to'>ns</span><span class='to'>cs</span>e,<span class='to'>cs</span><span class='to'>hs</span>a<span class='to'>rs</span><span class='to'>ws</span>o<span class='to'>ms</span>e<span class='to'>ns</span>,<span class='to'>fs</span><span class='to'>ls</span>a<span class='to'>ts</span>u<span class='to'>ls</span>e<span class='to'>ns</span><span class='to'>cs</span>e,<span class='to'>bs</span>e<span class='to'>ds</span>e<span class='to'>vs</span>i<span class='to'>ls</span>i<span class='to'>ns</span><span class='to'>gs</span>,<span class='to'>fs</span>e<span class='to'>ms</span>o<span class='to'>rs</span>a,<span class='to'>fs</span>e<span class='to'>ds</span>,jabber,jsabsbsers,look at <b>consonants</b>
260,<span class='from'>d</span>ubiousness,<span class='from'>c</span>lips,<span class='from'>n</span>itrate,<span class='from'>s</span>ettee,<span class='from'>r</span>eef,<span class='from'>t</span>agging,<span class='from'>g</span>amy,<span class='from'>r</span>ationalistic,<span class='to'>o</span>ubiousness,<span class='to'>o</span>lips,<span class='to'>o</span>itrate,<span class='to'>o</span>ettee,<span class='to'>o</span>eef,<span class='to'>o</span>agging,<span class='to'>o</span>amy,<span class='to'>o</span>ationalistic,subtract,oubtract,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
261,<span class='from'>ca</span>p<span class='from'>su</span><span class='from'>le</span>,<span class='from'>bo</span>un<span class='from'>ci</span>est,ast<span class='from'>ro</span><span class='from'>na</span>uts,<span class='from'>pi</span><span class='from'>ge</span>on,<span class='from'>mo</span><span class='from'>nu</span><span class='from'>me</span>n<span class='from'>ta</span>lly,c<span class='from'>hu</span>m<span class='from'>mi</span>est,<span class='from'>co</span>a<span class='from'>le</span>s<span class='from'>ce</span>s,<span class='from'>sa</span>c<span class='from'>ra</span><span class='from'>me</span>nt,<span class='to'>ica</span>p<span class='to'>isu</span><span class='to'>ile</span>,<span class='to'>ibo</span>un<span class='to'>ici</span>est,ast<span class='to'>iro</span><span class='to'>ina</span>uts,<span class='to'>ipi</span><span class='to'>ige</span>on,<span class='to'>imo</span><span class='to'>inu</span><span class='to'>ime</span>n<span class='to'>ita</span>lly,c<span class='to'>ihu</span>m<span class='to'>imi</span>est,<span class='to'>ico</span>a<span class='to'>ile</span>s<span class='to'>ice</span>s,<span class='to'>isa</span>c<span class='to'>ira</span><span class='to'>ime</span>nt,necessarily,ineicesisairily,look at <b>vowels</b>
262,<span class='from'>re</span>ckoned,<span class='from'>de</span>corations,<span class='from'>ha</span>llmark,<span class='from'>ex</span>hausted,<span class='from'>ju</span>stest,<span class='from'>de</span>licately,<span class='from'>un</span>conditional,<span class='from'>gl</span>oomiest,<span class='to'>yre</span>ckoned,<span class='to'>yde</span>corations,<span class='to'>yha</span>llmark,<span class='to'>yex</span>hausted,<span class='to'>yju</span>stest,<span class='to'>yde</span>licately,<span class='to'>yun</span>conditional,<span class='to'>ygl</span>oomiest,inebriate,yinebriate,look at the <b>beginning</b> of the word
263,re<span class='from'>st</span>ores,wa<span class='from'>rr</span>a<span class='from'>nt</span>ies,deodorizes,tee<span class='from'>ns</span>ie<span class='from'>st</span>,cooperi<span class='from'>ng</span>,imaginative<span class='from'>ly</span>,arousal,cataco<span class='from'>mb</span>s,re<span class='to'>ry</span>ores,wa<span class='to'>ry</span>a<span class='to'>ry</span>ies,deodorizes,tee<span class='to'>ry</span>ie<span class='to'>ry</span>,cooperi<span class='to'>ry</span>,imaginative<span class='to'>ry</span>,arousal,cataco<span class='to'>ry</span>s,douches,douryes,look at <b>consonants</b>
264,c<span class='from'>o</span>nn<span class='from'>e</span>ct<span class='from'>i</span><span class='from'>o</span>ns,tr<span class='from'>e</span>ll<span class='from'>i</span>s,m<span class='from'>o</span>r<span class='from'>o</span>s<span class='from'>e</span>,t<span class='from'>e</span>n<span class='from'>a</span>c<span class='from'>i</span>ty,pl<span class='from'>o</span>dd<span class='from'>i</span>ngs,sh<span class='from'>u</span>ck<span class='from'>e</span>d,g<span class='from'>a</span>z<span class='from'>e</span>tt<span class='from'>e</span>s,th<span class='from'>e</span>m<span class='from'>e</span>,c<span class='to'>qf</span>nn<span class='to'>qf</span>ct<span class='to'>qf</span><span class='to'>qf</span>ns,tr<span class='to'>qf</span>ll<span class='to'>qf</span>s,m<span class='to'>qf</span>r<span class='to'>qf</span>s<span class='to'>qf</span>,t<span class='to'>qf</span>n<span class='to'>qf</span>c<span class='to'>qf</span>ty,pl<span class='to'>qf</span>dd<span class='to'>qf</span>ngs,sh<span class='to'>qf</span>ck<span class='to'>qf</span>d,g<span class='to'>qf</span>z<span class='to'>qf</span>tt<span class='to'>qf</span>s,th<span class='to'>qf</span>m<span class='to'>qf</span>,viewpoints,vqfqfwpqfqfnts,look at <b>vowels</b>
265,<span class='from'>s</span>eptet,<span class='from'>p</span>reventable,<span class='from'>p</span>arameters,<span class='from'>a</span>uguring,<span class='from'>l</span>udicrously,<span class='from'>j</span>esting,<span class='from'>f</span>aultlessly,<span class='from'>p</span>atent,<span class='to'>ke</span>eptet,<span class='to'>ke</span>reventable,<span class='to'>ke</span>arameters,<span class='to'>ke</span>uguring,<span class='to'>ke</span>udicrously,<span class='to'>ke</span>esting,<span class='to'>ke</span>aultlessly,<span class='to'>ke</span>atent,offhandedly,keffhandedly,look at the <b>beginning</b> of the word
266,<span class='from'>w</span>ined,<span class='from'>p</span>ep,<span class='from'>m</span>itigation,<span class='from'>s</span>tation,<span class='from'>f</span>luffiness,<span class='from'>s</span>patters,<span class='from'>d</span>ownpour,<span class='from'>r</span>oseate,<span class='to'>h</span>ined,<span class='to'>h</span>ep,<span class='to'>h</span>itigation,<span class='to'>h</span>tation,<span class='to'>h</span>luffiness,<span class='to'>h</span>patters,<span class='to'>h</span>ownpour,<span class='to'>h</span>oseate,possibilities,hossibilities,look at the <b>beginning</b> of the word
267,<span class='from'>c</span>essations,<span class='from'>h</span>orsing,<span class='from'>v</span>entilating,<span class='from'>p</span>orringers,uncharacteristic,<span class='from'>g</span>rapple,<span class='from'>c</span>ablecasts,<span class='from'>f</span>iresides,<span class='to'>wv</span>essations,<span class='to'>wv</span>orsing,<span class='to'>wv</span>entilating,<span class='to'>wv</span>orringers,uncharacteristic,<span class='to'>wv</span>rapple,<span class='to'>wv</span>ablecasts,<span class='to'>wv</span>iresides,antitoxins,antitoxins,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
268,halfheartedne<span class='from'>ss</span>,stolid<span class='from'>ly</span>,jackpo<span class='from'>ts</span>,scandalizi<span class='from'>ng</span>,cruncher,peddli<span class='from'>ng</span>,tingei<span class='from'>ng</span>,berried,halfheartedne<span class='to'>sse</span>,stolid<span class='to'>lye</span>,jackpo<span class='to'>tse</span>,scandalizi<span class='to'>nge</span>,cruncher,peddli<span class='to'>nge</span>,tingei<span class='to'>nge</span>,berried,turves,turves,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
269,<span class='from'>y</span>ip,<span class='from'>w</span>atershed,<span class='from'>u</span>nsafer,<span class='from'>n</span>ative,<span class='from'>c</span>ongenital,<span class='from'>g</span>hettoes,<span class='from'>r</span>everences,<span class='from'>s</span>kies,<span class='to'>xe</span>ip,<span class='to'>xe</span>atershed,<span class='to'>xe</span>nsafer,<span class='to'>xe</span>ative,<span class='to'>xe</span>ongenital,<span class='to'>xe</span>hettoes,<span class='to'>xe</span>everences,<span class='to'>xe</span>kies,doffs,xeoffs,look at the <b>beginning</b> of the word
270,inf<span class='from'>r</span>ingements,<span class='from'>r</span>emitting,discontinuous,ha<span class='from'>r</span>den,moodie<span class='from'>r</span>,bending,c<span class='from'>r</span>ying,t<span class='from'>r</span>amps,inf<span class='to'>ml</span>ingements,<span class='to'>ml</span>emitting,discontinuous,ha<span class='to'>ml</span>den,moodie<span class='to'>ml</span>,bending,c<span class='to'>ml</span>ying,t<span class='to'>ml</span>amps,creditable,cmleditable,(no hint for this problem)
271,cynosu<span class='from'>r</span>e,leota<span class='from'>r</span>ds,junipe<span class='from'>r</span>,blabs,autho<span class='from'>r</span>ity,matu<span class='from'>r</span>ely,pe<span class='from'>r</span>spi<span class='from'>r</span>es,neate<span class='from'>r</span>,cynosu<span class='to'>ed</span>e,leota<span class='to'>ed</span>ds,junipe<span class='to'>ed</span>,blabs,autho<span class='to'>ed</span>ity,matu<span class='to'>ed</span>ely,pe<span class='to'>ed</span>spi<span class='to'>ed</span>es,neate<span class='to'>ed</span>,investigation,investigation,(no hint for this problem)
272,<span class='from'>c</span>utest,he<span class='from'>c</span>klers,s<span class='from'>c</span>ulptor,molasses,pyromania<span class='from'>c</span>s,afforesting,shortsightedness,parishioner,<span class='to'>ce</span>utest,he<span class='to'>ce</span>klers,s<span class='to'>ce</span>ulptor,molasses,pyromania<span class='to'>ce</span>s,afforesting,shortsightedness,parishioner,villa,villa,(no hint for this problem)
273,<span class='from'>c</span>hangeovers,<span class='from'>s</span>torefront,<span class='from'>b</span>ootie,<span class='from'>s</span>prightliest,<span class='from'>r</span>ebuking,<span class='from'>g</span>elatine,<span class='from'>p</span>resses,<span class='from'>b</span>rigand,<span class='to'>dg</span>hangeovers,<span class='to'>dg</span>torefront,<span class='to'>dg</span>ootie,<span class='to'>dg</span>prightliest,<span class='to'>dg</span>ebuking,<span class='to'>dg</span>elatine,<span class='to'>dg</span>resses,<span class='to'>dg</span>rigand,rasps,dgasps,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
274,g<span class='from'>oa</span>lk<span class='from'>ee</span>p<span class='from'>er</span>,str<span class='from'>ai</span>n,m<span class='from'>is</span><span class='from'>in</span>f<span class='from'>or</span>m,h<span class='from'>au</span>ght<span class='from'>il</span>y,m<span class='from'>in</span>ce,s<span class='from'>ie</span>v<span class='from'>es</span>,s<span class='from'>ur</span>v<span class='from'>ey</span><span class='from'>or</span>,d<span class='from'>iu</span>r<span class='from'>et</span><span class='from'>ic</span>,g<span class='to'>ioa</span>lk<span class='to'>iee</span>p<span class='to'>ier</span>,str<span class='to'>iai</span>n,m<span class='to'>iis</span><span class='to'>iin</span>f<span class='to'>ior</span>m,h<span class='to'>iau</span>ght<span class='to'>iil</span>y,m<span class='to'>iin</span>ce,s<span class='to'>iie</span>v<span class='to'>ies</span>,s<span class='to'>iur</span>v<span class='to'>iey</span><span class='to'>ior</span>,d<span class='to'>iiu</span>r<span class='to'>iet</span><span class='to'>iic</span>,cornstalks,ciornstialks,look at <b>vowels</b>
275,<span class='from'>po</span><span class='from'>we</span>r<span class='from'>le</span>ss<span class='from'>ne</span>ss,p<span class='from'>re</span><span class='from'>ce</span>pts,<span class='from'>cu</span>c<span class='from'>ko</span>os,psyc<span class='from'>ho</span><span class='from'>lo</span><span class='from'>gi</span>sts,<span class='from'>ma</span><span class='from'>je</span>s<span class='from'>ti</span>c,<span class='from'>wa</span>n<span class='from'>te</span>d,s<span class='from'>ta</span>rc<span class='from'>hi</span>est,<span class='from'>ha</span>ck<span class='from'>ne</span>ys,<span class='to'>xpo</span><span class='to'>xwe</span>r<span class='to'>xle</span>ss<span class='to'>xne</span>ss,p<span class='to'>xre</span><span class='to'>xce</span>pts,<span class='to'>xcu</span>c<span class='to'>xko</span>os,psyc<span class='to'>xho</span><span class='to'>xlo</span><span class='to'>xgi</span>sts,<span class='to'>xma</span><span class='to'>xje</span>s<span class='to'>xti</span>c,<span class='to'>xwa</span>n<span class='to'>xte</span>d,s<span class='to'>xta</span>rc<span class='to'>xhi</span>est,<span class='to'>xha</span>ck<span class='to'>xne</span>ys,transmute,txransxmuxte,look at <b>vowels</b></li><li>look at <b>consonants</b>
276,anonymousl<span class='from'>y</span>,bondsme<span class='from'>n</span>,whirlwind<span class='from'>s</span>,commentato<span class='from'>r</span>,prettifie<span class='from'>s</span>,seru<span class='from'>m</span>,banke<span class='from'>r</span>,pocketboo<span class='from'>k</span>,anonymousl<span class='to'>r</span>,bondsme<span class='to'>r</span>,whirlwind<span class='to'>r</span>,commentato<span class='to'>r</span>,prettifie<span class='to'>r</span>,seru<span class='to'>r</span>,banke<span class='to'>r</span>,pocketboo<span class='to'>r</span>,misrule,misrule,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
277,<span class='from'>p</span>erfume,<span class='from'>r</span>eadjusted,<span class='from'>b</span>lasphemed,<span class='from'>c</span>ommonplace,<span class='from'>s</span>ymmetrically,<span class='from'>s</span>kirmishing,<span class='from'>p</span>orringers,<span class='from'>m</span>unched,<span class='to'>mi</span>erfume,<span class='to'>mi</span>eadjusted,<span class='to'>mi</span>lasphemed,<span class='to'>mi</span>ommonplace,<span class='to'>mi</span>ymmetrically,<span class='to'>mi</span>kirmishing,<span class='to'>mi</span>orringers,<span class='to'>mi</span>unched,groins,miroins,look at the <b>beginning</b> of the word
278,b<span class='from'>ia</span>s,catb<span class='from'>ir</span>d,ch<span class='from'>ip</span>munk,prowled,exorb<span class='from'>it</span>ant,m<span class='from'>il</span>l<span class='from'>im</span>eters,off<span class='from'>ic</span><span class='from'>ia</span>tes,goofed,b<span class='to'>q</span>s,catb<span class='to'>q</span>d,ch<span class='to'>q</span>munk,prowled,exorb<span class='to'>q</span>ant,m<span class='to'>q</span>l<span class='to'>q</span>eters,off<span class='to'>q</span><span class='to'>q</span>tes,goofed,boorishly,boorqhly,(no hint for this problem)
279,l<span class='from'>ab</span><span class='from'>el</span>l<span class='from'>in</span>g,<span class='from'>dr</span><span class='from'>ac</span><span class='from'>hm</span><span class='from'>as</span>,<span class='from'>ov</span><span class='from'>er</span>ha<span class='from'>ul</span><span class='from'>in</span>g,m<span class='from'>at</span><span class='from'>ch</span>bo<span class='from'>ok</span>,y<span class='from'>el</span><span class='from'>ps</span>,b<span class='from'>at</span><span class='from'>tl</span><span class='from'>es</span>h<span class='from'>ip</span>,<span class='from'>kr</span><span class='from'>on</span>e,ro<span class='from'>om</span><span class='from'>er</span>s,l<span class='to'>k</span><span class='to'>k</span>l<span class='to'>k</span>g,<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>,<span class='to'>k</span><span class='to'>k</span>ha<span class='to'>k</span><span class='to'>k</span>g,m<span class='to'>k</span><span class='to'>k</span>bo<span class='to'>k</span>,y<span class='to'>k</span><span class='to'>k</span>,b<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>h<span class='to'>k</span>,<span class='to'>k</span><span class='to'>k</span>e,ro<span class='to'>k</span><span class='to'>k</span>s,kin,kk,look at <b>consonants</b>
280,marshie<span class='from'>r</span>,educatin<span class='from'>g</span>,alcoho<span class='from'>l</span>,analog<span class='from'>y</span>,kilometer<span class='from'>s</span>,dub<span class='from'>s</span>,delive<span class='from'>r</span>,alimentar<span class='from'>y</span>,marshie<span class='to'>oc</span>,educatin<span class='to'>oc</span>,alcoho<span class='to'>oc</span>,analog<span class='to'>oc</span>,kilometer<span class='to'>oc</span>,dub<span class='to'>oc</span>,delive<span class='to'>oc</span>,alimentar<span class='to'>oc</span>,ailed,aileoc,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
