id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
1101,<span class='from'>m</span>essieurs,<span class='from'>d</span>isbelieve,<span class='from'>p</span>hantasies,<span class='from'>w</span>illfulness,<span class='from'>s</span>trippers,<span class='from'>s</span>hoot,<span class='from'>c</span>ubist,<span class='from'>r</span>esupplies,<span class='to'>yc</span>essieurs,<span class='to'>yc</span>isbelieve,<span class='to'>yc</span>hantasies,<span class='to'>yc</span>illfulness,<span class='to'>yc</span>trippers,<span class='to'>yc</span>hoot,<span class='to'>yc</span>ubist,<span class='to'>yc</span>esupplies,specialty,ycpecialty,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1102,circumventin<span class='from'>g</span>,campaigner<span class='from'>s</span>,fuselage,involvement<span class='from'>s</span>,denigratin<span class='from'>g</span>,quarterlie<span class='from'>s</span>,constituencie<span class='from'>s</span>,preparation<span class='from'>s</span>,circumventin<span class='to'>ru</span>,campaigner<span class='to'>ru</span>,fuselage,involvement<span class='to'>ru</span>,denigratin<span class='to'>ru</span>,quarterlie<span class='to'>ru</span>,constituencie<span class='to'>ru</span>,preparation<span class='to'>ru</span>,microeconomics,microeconomicru,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1103,<span class='from'>h</span>ustles,<span class='from'>m</span>onographs,<span class='from'>o</span>rchards,<span class='from'>r</span>andomness,<span class='from'>b</span>lowouts,<span class='from'>w</span>ashstands,<span class='from'>e</span>xperimentation,<span class='from'>t</span>amest,<span class='to'>eb</span>ustles,<span class='to'>eb</span>onographs,<span class='to'>eb</span>rchards,<span class='to'>eb</span>andomness,<span class='to'>eb</span>lowouts,<span class='to'>eb</span>ashstands,<span class='to'>eb</span>xperimentation,<span class='to'>eb</span>amest,parlaying,ebarlaying,look at the <b>beginning</b> of the word
1104,<span class='from'>co</span>unteracts,<span class='from'>ob</span>sequious,<span class='from'>or</span>ally,<span class='from'>pl</span>otting,<span class='from'>em</span>pires,<span class='from'>ex</span>tincts,<span class='from'>re</span>stored,<span class='from'>do</span>cketed,<span class='to'>coco</span>unteracts,<span class='to'>obob</span>sequious,<span class='to'>oror</span>ally,<span class='to'>plpl</span>otting,<span class='to'>emem</span>pires,<span class='to'>exex</span>tincts,<span class='to'>rere</span>stored,<span class='to'>dodo</span>cketed,diddles,dididdles,look at the <b>beginning</b> of the word</li><li>look for <b>repitition</b>
1105,te<span class='from'>ap</span>ots,interluded,scr<span class='from'>up</span>led,nightc<span class='from'>ap</span>,<span class='from'>sp</span>okesmen,fru<span class='from'>mp</span>y,c<span class='from'>ap</span>es,tasty,te<span class='to'>v</span>ots,interluded,scr<span class='to'>v</span>led,nightc<span class='to'>v</span>,<span class='to'>v</span>okesmen,fru<span class='to'>v</span>y,c<span class='to'>v</span>es,tasty,crepes,crves,(no hint for this problem)
1106,imbecility,overlaps,<span class='from'>d</span>eclassifies,<span class='from'>r</span>eemerges,<span class='from'>p</span>antsuit,<span class='from'>b</span>ethinking,<span class='from'>w</span>rongs,<span class='from'>c</span>oughing,imbecility,overlaps,<span class='to'>yt</span>eclassifies,<span class='to'>yt</span>eemerges,<span class='to'>yt</span>antsuit,<span class='to'>yt</span>ethinking,<span class='to'>yt</span>rongs,<span class='to'>yt</span>oughing,prearrangement,ytrearrangement,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1107,lifework,leaned,questio<span class='from'>ns</span>,entwin<span class='from'>es</span>,announce<span class='from'>rs</span>,abolitionis<span class='from'>ts</span>,luxurio<span class='from'>us</span>,heade<span class='from'>rs</span>,lifework,leaned,questio<span class='to'>vns</span>,entwin<span class='to'>ves</span>,announce<span class='to'>vrs</span>,abolitionis<span class='to'>vts</span>,luxurio<span class='to'>vus</span>,heade<span class='to'>vrs</span>,sourpuss,sourpuvss,look at the <b>end</b> of the word
1108,indecorous,fu<span class='from'>l</span>fi<span class='from'>l</span><span class='from'>l</span>s,verminous,disma<span class='from'>l</span>,simp<span class='from'>l</span>eness,g<span class='from'>l</span>ueing,e<span class='from'>l</span>ectives,b<span class='from'>l</span>owout,indecorous,fu<span class='to'>kb</span>fi<span class='to'>kb</span><span class='to'>kb</span>s,verminous,disma<span class='to'>kb</span>,simp<span class='to'>kb</span>eness,g<span class='to'>kb</span>ueing,e<span class='to'>kb</span>ectives,b<span class='to'>kb</span>owout,trampolines,trampokbines,(no hint for this problem)
1109,r<span class='from'>un</span>t,pr<span class='from'>ef</span><span class='from'>er</span>r<span class='from'>ed</span>,v<span class='from'>al</span><span class='from'>or</span>,<span class='from'>un</span>l<span class='from'>oc</span>k<span class='from'>ed</span>,d<span class='from'>is</span>f<span class='from'>av</span><span class='from'>or</span>s,c<span class='from'>at</span><span class='from'>al</span><span class='from'>og</span>s,<span class='from'>in</span>t<span class='from'>er</span>j<span class='from'>ec</span>t<span class='from'>ed</span>,sch<span class='from'>is</span>t,r<span class='to'>uf</span>t,pr<span class='to'>uf</span><span class='to'>uf</span>r<span class='to'>uf</span>,v<span class='to'>uf</span><span class='to'>uf</span>,<span class='to'>uf</span>l<span class='to'>uf</span>k<span class='to'>uf</span>,d<span class='to'>uf</span>f<span class='to'>uf</span><span class='to'>uf</span>s,c<span class='to'>uf</span><span class='to'>uf</span><span class='to'>uf</span>s,<span class='to'>uf</span>t<span class='to'>uf</span>j<span class='to'>uf</span>t<span class='to'>uf</span>,sch<span class='to'>uf</span>t,tempted,tufptuf,look at <b>vowels</b></li><li>look at <b>consonants</b>
1110,f<span class='from'>r</span>uctifying,mode<span class='from'>r</span>ately,extempo<span class='from'>r</span>e,b<span class='from'>r</span>owbeat,tense<span class='from'>r</span>,isomet<span class='from'>r</span>ic,th<span class='from'>r</span>ummed,spu<span class='from'>r</span>ting,f<span class='to'>dq</span>uctifying,mode<span class='to'>dq</span>ately,extempo<span class='to'>dq</span>e,b<span class='to'>dq</span>owbeat,tense<span class='to'>dq</span>,isomet<span class='to'>dq</span>ic,th<span class='to'>dq</span>ummed,spu<span class='to'>dq</span>ting,clan,clan,(no hint for this problem)
1111,d<span class='from'>e</span>m<span class='from'>o</span>nstr<span class='from'>a</span>t<span class='from'>o</span>r,<span class='from'>e</span>nc<span class='from'>o</span><span class='from'>u</span>nt<span class='from'>e</span>r<span class='from'>i</span>ng,<span class='from'>o</span>v<span class='from'>e</span>rb<span class='from'>u</span>rd<span class='from'>e</span>n<span class='from'>e</span>d,<span class='from'>e</span>xpl<span class='from'>i</span>c<span class='from'>a</span>bl<span class='from'>e</span>,spl<span class='from'>o</span>tchy,j<span class='from'>a</span>w<span class='from'>i</span>ng,r<span class='from'>e</span><span class='from'>i</span>nf<span class='from'>o</span>rc<span class='from'>e</span>m<span class='from'>e</span>nt,<span class='from'>o</span><span class='from'>u</span>tr<span class='from'>e</span><span class='from'>a</span>ch,d<span class='to'>u</span>m<span class='to'>u</span>nstr<span class='to'>u</span>t<span class='to'>u</span>r,<span class='to'>u</span>nc<span class='to'>u</span><span class='to'>u</span>nt<span class='to'>u</span>r<span class='to'>u</span>ng,<span class='to'>u</span>v<span class='to'>u</span>rb<span class='to'>u</span>rd<span class='to'>u</span>n<span class='to'>u</span>d,<span class='to'>u</span>xpl<span class='to'>u</span>c<span class='to'>u</span>bl<span class='to'>u</span>,spl<span class='to'>u</span>tchy,j<span class='to'>u</span>w<span class='to'>u</span>ng,r<span class='to'>u</span><span class='to'>u</span>nf<span class='to'>u</span>rc<span class='to'>u</span>m<span class='to'>u</span>nt,<span class='to'>u</span><span class='to'>u</span>tr<span class='to'>u</span><span class='to'>u</span>ch,lintels,luntuls,look at <b>vowels</b>
1112,distaffs,equiva<span class='from'>le</span>nt,u<span class='from'>ne</span>mbarras<span class='from'>se</span>d,o<span class='from'>we</span>d,crosswords,<span class='from'>te</span>ems,mant<span class='from'>le</span>,cliquish,distaffs,equiva<span class='to'>w</span>nt,u<span class='to'>w</span>mbarras<span class='to'>w</span>d,o<span class='to'>w</span>d,crosswords,<span class='to'>w</span>ems,mant<span class='to'>w</span>,cliquish,pitifully,pitifully,look at <b>consonants</b>
1113,<span class='from'>ci</span><span class='from'>vi</span><span class='from'>ll</span>y,<span class='from'>si</span><span class='from'>tt</span><span class='from'>er</span>s,<span class='from'>bl</span><span class='from'>ue</span><span class='from'>pr</span><span class='from'>in</span>t,<span class='from'>di</span><span class='from'>si</span><span class='from'>nf</span><span class='from'>or</span><span class='from'>ma</span><span class='from'>ti</span><span class='from'>on</span>,<span class='from'>ke</span><span class='from'>ns</span>,<span class='from'>so</span><span class='from'>ot</span>y,<span class='from'>na</span><span class='from'>me</span><span class='from'>sa</span><span class='from'>ke</span>s,<span class='from'>re</span><span class='from'>ad</span><span class='from'>ou</span><span class='from'>ts</span>,<span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span>y,<span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span>s,<span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span>t,<span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span>,<span class='to'>pp</span><span class='to'>pp</span>,<span class='to'>pp</span><span class='to'>pp</span>y,<span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span>s,<span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span><span class='to'>pp</span>,crave,ppppe,(no hint for this problem)
1114,encapsulate<span class='from'>d</span>,velvetie<span class='from'>r</span>,promotin<span class='from'>g</span>,energizer<span class='from'>s</span>,proprietresse<span class='from'>s</span>,sta<span class='from'>y</span>,processor<span class='from'>s</span>,homespu<span class='from'>n</span>,encapsulate<span class='to'>ds</span>,velvetie<span class='to'>rs</span>,promotin<span class='to'>gs</span>,energizer<span class='to'>ss</span>,proprietresse<span class='to'>ss</span>,sta<span class='to'>ys</span>,processor<span class='to'>ss</span>,homespu<span class='to'>ns</span>,basket,baskets,look at the <b>end</b> of the word
1115,<span class='from'>s</span><span class='from'>p</span>a<span class='from'>r</span><span class='from'>s</span>e<span class='from'>s</span><span class='from'>t</span>,a<span class='from'>n</span><span class='from'>t</span><span class='from'>h</span><span class='from'>r</span>o<span class='from'>p</span>o<span class='from'>m</span>o<span class='from'>r</span><span class='from'>p</span><span class='from'>h</span>i<span class='from'>s</span><span class='from'>m</span>,<span class='from'>t</span><span class='from'>r</span>ue,i<span class='from'>n</span><span class='from'>s</span>a<span class='from'>n</span>e<span class='from'>s</span><span class='from'>t</span>,<span class='from'>h</span>a<span class='from'>p</span><span class='from'>p</span>e<span class='from'>n</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='from'>w</span>oo<span class='from'>d</span><span class='from'>l</span>a<span class='from'>n</span><span class='from'>d</span><span class='from'>s</span>,<span class='from'>f</span><span class='from'>l</span>a<span class='from'>g</span>,<span class='from'>d</span>e<span class='from'>c</span>o<span class='from'>r</span>a<span class='from'>t</span>e<span class='from'>s</span>,<span class='to'>hl</span><span class='to'>hl</span>a<span class='to'>hl</span><span class='to'>hl</span>e<span class='to'>hl</span><span class='to'>hl</span>,a<span class='to'>hl</span><span class='to'>hl</span><span class='to'>hl</span><span class='to'>hl</span>o<span class='to'>hl</span>o<span class='to'>hl</span>o<span class='to'>hl</span><span class='to'>hl</span><span class='to'>hl</span>i<span class='to'>hl</span><span class='to'>hl</span>,<span class='to'>hl</span><span class='to'>hl</span>ue,i<span class='to'>hl</span><span class='to'>hl</span>a<span class='to'>hl</span>e<span class='to'>hl</span><span class='to'>hl</span>,<span class='to'>hl</span>a<span class='to'>hl</span><span class='to'>hl</span>e<span class='to'>hl</span>i<span class='to'>hl</span><span class='to'>hl</span>,<span class='to'>hl</span>oo<span class='to'>hl</span><span class='to'>hl</span>a<span class='to'>hl</span><span class='to'>hl</span><span class='to'>hl</span>,<span class='to'>hl</span><span class='to'>hl</span>a<span class='to'>hl</span>,<span class='to'>hl</span>e<span class='to'>hl</span>o<span class='to'>hl</span>a<span class='to'>hl</span>e<span class='to'>hl</span>,gasping,hlahlhlihlhl,look at <b>consonants</b>
1116,<span class='from'>s</span>imulation,<span class='from'>f</span>illers,<span class='from'>g</span>oalies,<span class='from'>r</span>eplacement,<span class='from'>f</span>ishtailing,<span class='from'>c</span>ooked,<span class='from'>c</span>ondemned,<span class='from'>d</span>eductibles,<span class='to'>d</span>imulation,<span class='to'>d</span>illers,<span class='to'>d</span>oalies,<span class='to'>d</span>eplacement,<span class='to'>d</span>ishtailing,<span class='to'>d</span>ooked,<span class='to'>d</span>ondemned,<span class='to'>d</span>eductibles,curried,durried,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1117,shockingl<span class='from'>y</span>,bargai<span class='from'>n</span>,standof<span class='from'>f</span>,strai<span class='from'>n</span>,enfranchise<span class='from'>s</span>,singl<span class='from'>y</span>,hemlin<span class='from'>e</span>,saintlie<span class='from'>r</span>,shockingl<span class='to'>yi</span>,bargai<span class='to'>ni</span>,standof<span class='to'>fi</span>,strai<span class='to'>ni</span>,enfranchise<span class='to'>si</span>,singl<span class='to'>yi</span>,hemlin<span class='to'>ei</span>,saintlie<span class='to'>ri</span>,omissions,omissionsi,look at the <b>end</b> of the word
1118,insou<span class='from'>c</span>ian<span class='from'>c</span>e,grandest,per<span class='from'>c</span>olating,rustle,<span class='from'>c</span>onstri<span class='from'>c</span>ted,inse<span class='from'>c</span>ti<span class='from'>c</span>ides,oversleeping,<span class='from'>c</span>onnoting,insou<span class='to'>cs</span>ian<span class='to'>cs</span>e,grandest,per<span class='to'>cs</span>olating,rustle,<span class='to'>cs</span>onstri<span class='to'>cs</span>ted,inse<span class='to'>cs</span>ti<span class='to'>cs</span>ides,oversleeping,<span class='to'>cs</span>onnoting,incursions,incsursions,(no hint for this problem)
1119,forsoo<span class='from'>t</span>h,opera<span class='from'>t</span>ed,campfires,<span class='from'>t</span>ransgressors,plural,rec<span class='from'>t</span>i<span class='from'>t</span>ude,<span class='from'>t</span>rowels,fraudulen<span class='from'>t</span>,forsoo<span class='to'>gt</span>h,opera<span class='to'>gt</span>ed,campfires,<span class='to'>gt</span>ransgressors,plural,rec<span class='to'>gt</span>i<span class='to'>gt</span>ude,<span class='to'>gt</span>rowels,fraudulen<span class='to'>gt</span>,bemoaning,bemoaning,(no hint for this problem)
1120,<span class='from'>pe</span>rp<span class='from'>le</span><span class='from'>xi</span>ty,<span class='from'>we</span>alt<span class='from'>hi</span><span class='from'>ne</span>ss,<span class='from'>ki</span>d<span class='from'>do</span>,s<span class='from'>qu</span>ish,un<span class='from'>fu</span>rls,t<span class='from'>ra</span><span class='from'>di</span>ng,<span class='from'>te</span>mp<span class='from'>te</span>rs,<span class='from'>re</span><span class='from'>fo</span><span class='from'>cu</span>s,<span class='to'></span>rp<span class='to'></span><span class='to'></span>ty,<span class='to'></span>alt<span class='to'></span><span class='to'></span>ss,<span class='to'></span>d<span class='to'></span>,s<span class='to'></span>ish,un<span class='to'></span>rls,t<span class='to'></span><span class='to'></span>ng,<span class='to'></span>mp<span class='to'></span>rs,<span class='to'></span><span class='to'></span><span class='to'></span>s,famines,s,look at <b>vowels</b></li><li>look at <b>consonants</b>
1121,viaduc<span class='from'>ts</span>,elf<span class='from'>in</span>,simple<span class='from'>st</span>,quizzic<span class='from'>al</span>,scarifi<span class='from'>ed</span>,septicem<span class='from'>ia</span>,ca<span class='from'>ps</span>,sin<span class='from'>ew</span>,viaduc<span class='to'>cx</span>,elf<span class='to'>cx</span>,simple<span class='to'>cx</span>,quizzic<span class='to'>cx</span>,scarifi<span class='to'>cx</span>,septicem<span class='to'>cx</span>,ca<span class='to'>cx</span>,sin<span class='to'>cx</span>,chammy,chamcx,look at the <b>end</b> of the word
1122,preyin<span class='from'>g</span>,women,pressurin<span class='from'>g</span>,matterin<span class='from'>g</span>,bisque,shinglin<span class='from'>g</span>,tenets,hostessin<span class='from'>g</span>,preyin<span class='to'>as</span>,women,pressurin<span class='to'>as</span>,matterin<span class='to'>as</span>,bisque,shinglin<span class='to'>as</span>,tenets,hostessin<span class='to'>as</span>,cussing,cussinas,look at the <b>end</b> of the word
1123,quantifyin<span class='from'>g</span>,interpolated,limed,swankin<span class='from'>g</span>,ni<span class='from'>g</span>htclubbin<span class='from'>g</span>,coquette,overpopulatin<span class='from'>g</span>,undera<span class='from'>g</span>e,quantifyin<span class='to'>i</span>,interpolated,limed,swankin<span class='to'>i</span>,ni<span class='to'>i</span>htclubbin<span class='to'>i</span>,coquette,overpopulatin<span class='to'>i</span>,undera<span class='to'>i</span>e,swims,swims,(no hint for this problem)
1124,deejays,<span class='from'>s</span>hining,pearl,<span class='from'>s</span>upplier,<span class='from'>s</span>uggest,<span class='from'>s</span>kivvied,<span class='from'>s</span>unlamp,<span class='from'>s</span>cuffled,deejays,<span class='to'>hs</span>hining,pearl,<span class='to'>hs</span>upplier,<span class='to'>hs</span>uggest,<span class='to'>hs</span>kivvied,<span class='to'>hs</span>unlamp,<span class='to'>hs</span>cuffled,heirloom,heirloom,look at the <b>beginning</b> of the word
1125,crosse<span class='from'>s</span>,proprieto<span class='from'>r</span>,fluffies<span class='from'>t</span>,urchi<span class='from'>n</span>,handsomel<span class='from'>y</span>,gamin<span class='from'>g</span>,emcee<span class='from'>s</span>,sourl<span class='from'>y</span>,crosse<span class='to'>gs</span>,proprieto<span class='to'>gs</span>,fluffies<span class='to'>gs</span>,urchi<span class='to'>gs</span>,handsomel<span class='to'>gs</span>,gamin<span class='to'>gs</span>,emcee<span class='to'>gs</span>,sourl<span class='to'>gs</span>,cankering,cankerings,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1126,<span class='from'>di</span>s<span class='from'>co</span>m<span class='from'>fi</span><span class='from'>ti</span>ng,<span class='from'>ve</span><span class='from'>ri</span><span class='from'>si</span><span class='from'>mi</span><span class='from'>li</span><span class='from'>tu</span><span class='from'>de</span>,s<span class='from'>ho</span>r<span class='from'>te</span>r,ac<span class='from'>co</span><span class='from'>la</span><span class='from'>de</span>s,sp<span class='from'>la</span>t<span class='from'>te</span><span class='from'>ri</span>ng,t<span class='from'>ri</span>f<span class='from'>le</span>s,<span class='from'>lo</span><span class='from'>ve</span>s,p<span class='from'>la</span><span class='from'>ce</span><span class='from'>bo</span>s,<span class='to'>mf</span>s<span class='to'>mf</span>m<span class='to'>mf</span><span class='to'>mf</span>ng,<span class='to'>mf</span><span class='to'>mf</span><span class='to'>mf</span><span class='to'>mf</span><span class='to'>mf</span><span class='to'>mf</span><span class='to'>mf</span>,s<span class='to'>mf</span>r<span class='to'>mf</span>r,ac<span class='to'>mf</span><span class='to'>mf</span><span class='to'>mf</span>s,sp<span class='to'>mf</span>t<span class='to'>mf</span><span class='to'>mf</span>ng,t<span class='to'>mf</span>f<span class='to'>mf</span>s,<span class='to'>mf</span><span class='to'>mf</span>s,p<span class='to'>mf</span><span class='to'>mf</span><span class='to'>mf</span>s,effectuate,efmfcmfamf,look at <b>vowels</b></li><li>look at <b>consonants</b>
1127,particip<span class='from'>ia</span>l,gr<span class='from'>ie</span>f,d<span class='from'>ia</span>gonal,shortages,jaywalked,flanking,unpl<span class='from'>ea</span>santly,surtaxed,particip<span class='to'>u</span>l,gr<span class='to'>u</span>f,d<span class='to'>u</span>gonal,shortages,jaywalked,flanking,unpl<span class='to'>u</span>santly,surtaxed,fraudulently,frudulently,look at <b>vowels</b>
1128,em<span class='from'>pe</span><span class='from'>ro</span>rs,c<span class='from'>le</span>ar,up<span class='from'>da</span><span class='from'>ti</span>ng,w<span class='from'>ho</span>os<span class='from'>he</span>s,ac<span class='from'>co</span>m<span class='from'>pa</span><span class='from'>ni</span><span class='from'>me</span>nts,c<span class='from'>la</span><span class='from'>mo</span>r,e<span class='from'>xa</span>l<span class='from'>ti</span>ng,<span class='from'>mo</span>r<span class='from'>tu</span>a<span class='from'>ri</span>es,em<span class='to'>w</span><span class='to'>w</span>rs,c<span class='to'>w</span>ar,up<span class='to'>w</span><span class='to'>w</span>ng,w<span class='to'>w</span>os<span class='to'>w</span>s,ac<span class='to'>w</span>m<span class='to'>w</span><span class='to'>w</span><span class='to'>w</span>nts,c<span class='to'>w</span><span class='to'>w</span>r,e<span class='to'>w</span>l<span class='to'>w</span>ng,<span class='to'>w</span>r<span class='to'>w</span>a<span class='to'>w</span>es,acquits,acwits,look at <b>vowels</b>
1129,leaching,<span class='from'>e</span>nduring,raider,<span class='from'>o</span>bscuring,proselyted,<span class='from'>o</span>rate,<span class='from'>o</span>verdose,<span class='from'>i</span>mplores,leaching,<span class='to'>ec</span>nduring,raider,<span class='to'>oc</span>bscuring,proselyted,<span class='to'>oc</span>rate,<span class='to'>oc</span>verdose,<span class='to'>ic</span>mplores,obtainable,ocbtainable,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1130,<span class='from'>ho</span>use<span class='from'>ho</span>lder,impanels,signatures,frizziest,resc<span class='from'>he</span>dules,s<span class='from'>hr</span>ub,r<span class='from'>hy</span>t<span class='from'>hm</span>ically,commonly,<span class='to'>yn</span>use<span class='to'>yn</span>lder,impanels,signatures,frizziest,resc<span class='to'>yn</span>dules,s<span class='to'>yn</span>ub,r<span class='to'>yn</span>t<span class='to'>yn</span>ically,commonly,fettered,fettered,(no hint for this problem)
1131,<span class='from'>pa</span>perweight,<span class='from'>re</span>proofing,evenings,<span class='from'>ba</span>lloonist,<span class='from'>co</span>ntinuance,<span class='from'>re</span>gions,<span class='from'>ga</span>stritis,<span class='from'>co</span>mpensates,<span class='to'>lg</span>perweight,<span class='to'>lg</span>proofing,evenings,<span class='to'>lg</span>lloonist,<span class='to'>lg</span>ntinuance,<span class='to'>lg</span>gions,<span class='to'>lg</span>stritis,<span class='to'>lg</span>mpensates,backpedaling,lgckpedaling,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b>
1132,c<span class='from'>ox</span>c<span class='from'>om</span>b,ha<span class='from'>un</span>t<span class='from'>in</span><span class='from'>gl</span>y,<span class='from'>br</span><span class='from'>ac</span>t,ca<span class='from'>ir</span><span class='from'>ns</span>,<span class='from'>in</span>h<span class='from'>ab</span><span class='from'>it</span>s,<span class='from'>un</span><span class='from'>cl</span><span class='from'>ot</span>h<span class='from'>ed</span>,<span class='from'>tr</span>e<span class='from'>at</span><span class='from'>is</span><span class='from'>es</span>,<span class='from'>sp</span><span class='from'>ec</span>i<span class='from'>al</span><span class='from'>iz</span><span class='from'>at</span>i<span class='from'>on</span>,c<span class='to'>xox</span>c<span class='to'>xom</span>b,ha<span class='to'>xun</span>t<span class='to'>xin</span><span class='to'>xgl</span>y,<span class='to'>xbr</span><span class='to'>xac</span>t,ca<span class='to'>xir</span><span class='to'>xns</span>,<span class='to'>xin</span>h<span class='to'>xab</span><span class='to'>xit</span>s,<span class='to'>xun</span><span class='to'>xcl</span><span class='to'>xot</span>h<span class='to'>xed</span>,<span class='to'>xtr</span>e<span class='to'>xat</span><span class='to'>xis</span><span class='to'>xes</span>,<span class='to'>xsp</span><span class='to'>xec</span>i<span class='to'>xal</span><span class='to'>xiz</span><span class='to'>xat</span>i<span class='to'>xon</span>,thoughts,xthoxugxhts,look at <b>consonants</b>
1133,conjure<span class='from'>r</span>,preventibl<span class='from'>e</span>,significan<span class='from'>t</span>,newspaperwoma<span class='from'>n</span>,ham<span class='from'>s</span>,skyrockete<span class='from'>d</span>,seraph<span class='from'>s</span>,whodunit<span class='from'>s</span>,conjure<span class='to'>pb</span>,preventibl<span class='to'>pb</span>,significan<span class='to'>pb</span>,newspaperwoma<span class='to'>pb</span>,ham<span class='to'>pb</span>,skyrockete<span class='to'>pb</span>,seraph<span class='to'>pb</span>,whodunit<span class='to'>pb</span>,larcenies,larceniepb,look at the <b>end</b> of the word
1134,hematologi<span class='from'>st</span>,graphi<span class='from'>ng</span>,genitalia,noug<span class='from'>ht</span>,curlie<span class='from'>st</span>,cornstal<span class='from'>ks</span>,enshroudi<span class='from'>ng</span>,convinci<span class='from'>ng</span>,hematologi<span class='to'>bq</span>,graphi<span class='to'>bq</span>,genitalia,noug<span class='to'>bq</span>,curlie<span class='to'>bq</span>,cornstal<span class='to'>bq</span>,enshroudi<span class='to'>bq</span>,convinci<span class='to'>bq</span>,dromedary,dromedabq,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1135,o<span class='from'>f</span><span class='from'>f</span>,<span class='from'>f</span>usty,harks,de<span class='from'>f</span>lated,spoo<span class='from'>f</span>ed,casual,alphabetized,sucrose,o<span class='to'>kl</span><span class='to'>kl</span>,<span class='to'>kl</span>usty,harks,de<span class='to'>kl</span>lated,spoo<span class='to'>kl</span>ed,casual,alphabetized,sucrose,puzzling,puzzling,(no hint for this problem)
1136,<span class='from'>p</span>urchase,<span class='from'>c</span>ampgrounds,<span class='from'>v</span>amoose,<span class='from'>c</span>onsigning,<span class='from'>t</span>weaks,unmentionables,<span class='from'>j</span>uiced,<span class='from'>c</span>hlorinate,<span class='to'>bo</span>urchase,<span class='to'>bo</span>ampgrounds,<span class='to'>bo</span>amoose,<span class='to'>bo</span>onsigning,<span class='to'>bo</span>weaks,unmentionables,<span class='to'>bo</span>uiced,<span class='to'>bo</span>hlorinate,westernizes,boesternizes,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1137,<span class='from'>r</span>e<span class='from'>l</span>a<span class='from'>p</span><span class='from'>s</span>e,<span class='from'>p</span>o<span class='from'>r</span><span class='from'>t</span><span class='from'>h</span>o<span class='from'>l</span>e,<span class='from'>t</span>a<span class='from'>c</span>i<span class='from'>t</span>,<span class='from'>v</span>e<span class='from'>r</span><span class='from'>t</span>e<span class='from'>b</span><span class='from'>r</span>a<span class='from'>l</span>,au<span class='from'>g</span>u<span class='from'>s</span><span class='from'>t</span>,<span class='from'>g</span>i<span class='from'>r</span><span class='from'>l</span><span class='from'>h</span>oo<span class='from'>d</span>,<span class='from'>n</span>o<span class='from'>t</span>a<span class='from'>r</span>i<span class='from'>z</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='from'>p</span><span class='from'>r</span>o<span class='from'>g</span>e<span class='from'>n</span><span class='from'>y</span>,<span class='to'>fj</span>e<span class='to'>fj</span>a<span class='to'>fj</span><span class='to'>fj</span>e,<span class='to'>fj</span>o<span class='to'>fj</span><span class='to'>fj</span><span class='to'>fj</span>o<span class='to'>fj</span>e,<span class='to'>fj</span>a<span class='to'>fj</span>i<span class='to'>fj</span>,<span class='to'>fj</span>e<span class='to'>fj</span><span class='to'>fj</span>e<span class='to'>fj</span><span class='to'>fj</span>a<span class='to'>fj</span>,au<span class='to'>fj</span>u<span class='to'>fj</span><span class='to'>fj</span>,<span class='to'>fj</span>i<span class='to'>fj</span><span class='to'>fj</span><span class='to'>fj</span>oo<span class='to'>fj</span>,<span class='to'>fj</span>o<span class='to'>fj</span>a<span class='to'>fj</span>i<span class='to'>fj</span>i<span class='to'>fj</span><span class='to'>fj</span>,<span class='to'>fj</span><span class='to'>fj</span>o<span class='to'>fj</span>e<span class='to'>fj</span><span class='to'>fj</span>,fireside,fjifjefjifje,look at <b>consonants</b>
